lon,lat,E_CT,E_CA,E_SA,E_FA
69.3966047852128,51.5367699018035,X,X,X,X
69.298353748557,51.5367699018035,X,X,X,X
69.2001027119013,51.5367699018035,X,X,X,X
69.1018516752455,51.5367699018035,X,X,X,X
69.0036006385897,51.5367699018035,X,X,X,X
68.905349601934,51.5367699018035,X,X,X,X
68.8070985652782,51.5367699018035,X,X,X,X
68.7088475286225,51.5367699018035,X,X,X,X
68.6105964919667,51.5367699018035,X,X,X,X
68.512345455311,51.5367699018035,X,X,X,X
68.4140944186552,51.5367699018035,X,X,X,X
68.3158433819995,51.5367699018035,X,X,X,X
68.2175923453437,51.5367699018035,X,X,X,X
68.1193413086879,51.5367699018035,X,X,X,X
68.0210902720322,51.5367699018035,X,X,X,X
67.9228392353764,51.5367699018035,X,X,X,X
67.8245881987207,51.5367699018035,X,X,X,X
67.7263371620649,51.5367699018035,X,X,X,X
67.6280861254092,51.5367699018035,X,X,X,X
67.5298350887534,51.5367699018035,X,X,X,X
67.4315840520976,51.5367699018035,X,X,X,X
67.3333330154419,51.5367699018035,X,X,X,X
67.2350819787861,51.5367699018035,X,X,X,X
67.1368309421304,51.5367699018035,X,X,X,X
67.0385799054746,51.5367699018035,X,X,X,X
66.9403288688189,51.5367699018035,X,X,X,X
66.8420778321631,51.5367699018035,X,X,X,X
66.7438267955074,51.5367699018035,X,X,X,X
66.6455757588516,51.5367699018035,X,X,X,X
66.5473247221959,51.5367699018035,X,X,X,X
66.4490736855401,51.5367699018035,X,X,X,X
66.3508226488843,51.5367699018035,X,X,X,X
66.2525716122286,51.5367699018035,X,X,X,X
66.1543205755728,51.5367699018035,X,X,X,X
66.0560695389171,51.5367699018035,X,X,X,X
65.9578185022613,51.5367699018035,X,X,X,X
65.8595674656056,51.5367699018035,X,X,X,X
65.7613164289498,51.5367699018035,X,X,X,X
65.663065392294,51.5367699018035,X,X,X,X
65.5648143556383,51.5367699018035,X,X,X,X
65.4665633189825,51.5367699018035,X,X,X,X
65.3683122823268,51.5367699018035,X,X,X,X
65.270061245671,51.5367699018035,X,X,X,X
65.1718102090153,51.5367699018035,X,X,X,X
65.0735591723595,51.5367699018035,X,X,X,X
64.9753081357038,51.5367699018035,X,X,X,X
64.877057099048,51.5367699018035,X,X,X,X
64.7788060623922,51.5367699018035,X,X,X,X
64.6805550257365,51.5367699018035,X,X,X,X
64.5823039890807,51.5367699018035,X,X,X,X
64.484052952425,51.5367699018035,X,X,X,X
64.3858019157692,51.5367699018035,X,X,X,X
64.2875508791135,51.5367699018035,X,X,X,X
64.1892998424577,51.5367699018035,X,X,X,X
64.091048805802,51.5367699018035,X,X,X,X
63.9927977691462,51.5367699018035,X,X,X,X
63.8945467324904,51.5367699018035,X,X,X,X
63.7962956958347,51.5367699018035,X,X,X,X
63.6980446591789,51.5367699018035,X,X,X,X
63.5997936225232,51.5367699018035,X,X,X,X
63.5015425858674,51.5367699018035,X,X,X,X
63.4032915492117,51.5367699018035,X,X,X,X
63.3050405125559,51.5367699018035,X,X,X,X
63.2067894759002,51.5367699018035,X,X,X,X
63.1085384392444,51.5367699018035,X,X,X,X
63.0102874025886,51.5367699018035,X,X,X,X
62.9120363659329,51.5367699018035,X,X,X,X
62.8137853292771,51.5367699018035,X,X,X,X
62.7155342926214,51.5367699018035,X,X,X,X
62.6172832559656,51.5367699018035,X,X,X,X
62.5190322193099,51.5367699018035,X,X,X,X
62.4207811826541,51.5367699018035,X,X,X,X
62.3225301459984,51.5367699018035,X,X,X,X
62.2242791093426,51.5367699018035,X,X,X,X
62.1260280726868,51.5367699018035,X,X,X,X
62.0277770360311,51.5367699018035,X,X,X,X
61.9295259993753,51.5367699018035,X,X,X,X
61.8312749627196,51.5367699018035,X,X,X,X
61.7330239260638,51.5367699018035,X,X,X,X
61.6347728894081,51.5367699018035,X,X,X,X
61.5365218527523,51.5367699018035,X,X,X,X
61.4382708160966,51.5367699018035,X,X,X,X
61.3400197794408,51.5367699018035,X,X,X,X
61.241768742785,51.5367699018035,X,X,X,X
61.1435177061293,51.5367699018035,X,X,X,X
61.0452666694735,51.5367699018035,X,X,X,X
60.9470156328178,51.5367699018035,X,X,X,X
60.848764596162,51.5367699018035,X,X,X,X
60.7505135595063,51.5367699018035,X,X,X,X
60.6522625228505,51.5367699018035,X,X,X,X
60.5540114861948,51.5367699018035,X,X,X,X
60.455760449539,51.5367699018035,X,X,X,X
60.3575094128832,51.5367699018035,X,X,X,X
60.2592583762275,51.5367699018035,X,X,X,X
60.1610073395717,51.5367699018035,X,X,X,X
60.062756302916,51.5367699018035,X,X,X,X
59.9645052662602,51.5367699018035,X,X,X,X
59.8662542296045,51.5367699018035,X,X,X,X
59.7680031929487,51.5367699018035,X,X,X,X
59.669752156293,51.5367699018035,X,X,X,X
59.5715011196372,51.5367699018035,X,X,X,X
59.4732500829814,51.5367699018035,X,X,X,X
59.3749990463257,51.5367699018035,X,X,X,X
59.2767480096699,51.5367699018035,X,X,X,X
59.1784969730142,51.5367699018035,X,X,X,X
59.0802459363584,51.5367699018035,X,X,X,X
58.9819948997027,51.5367699018035,X,X,X,X
58.8837438630469,51.5367699018035,X,X,X,X
58.7854928263911,51.5367699018035,X,X,X,X
58.6872417897354,51.5367699018035,X,X,X,X
58.5889907530796,51.5367699018035,X,X,X,X
58.4907397164239,51.5367699018035,X,X,X,X
58.3924886797681,51.5367699018035,X,X,X,X
58.2942376431124,51.5367699018035,X,X,X,X
58.1959866064566,51.5367699018035,X,X,X,X
58.0977355698009,51.5367699018035,X,X,X,X
57.9994845331451,51.5367699018035,X,X,X,X
57.9012334964893,51.5367699018035,X,X,X,X
57.8029824598336,51.5367699018035,X,X,X,X
57.7047314231778,51.5367699018035,X,X,X,X
57.6064803865221,51.5367699018035,X,X,X,X
57.5082293498663,51.5367699018035,X,X,X,X
57.4099783132106,51.5367699018035,X,X,X,X
57.3117272765548,51.5367699018035,X,X,X,X
57.2134762398991,51.5367699018035,X,X,X,X
57.1152252032433,51.5367699018035,X,X,X,X
57.0169741665875,51.5367699018035,X,X,X,X
56.9187231299318,51.5367699018035,X,X,X,X
56.820472093276,51.5367699018035,X,X,X,X
56.7222210566203,51.5367699018035,9,2,4,3
56.6239700199645,51.5367699018035,9,2,4,3
56.5257189833088,51.5367699018035,9+,3,1.,4
56.427467946653,51.5367699018035,9+,3,1.,4
56.3292169099973,51.5367699018035,9+,3,1.,4
56.2309658733415,51.5367699018035,9+,3,1.,4
56.1327148366858,51.5367699018035,9+,3,1.,4
56.03446380003,51.5367699018035,X,X,X,X
55.9362127633742,51.5367699018035,X,X,X,X
55.8379617267185,51.5367699018035,10,X,7,8
55.7397106900627,51.5367699018035,10,X,7,8
55.641459653407,51.5367699018035,X,X,X,X
55.5432086167512,51.5367699018035,X,X,X,X
55.4449575800955,51.5367699018035,7,2,4,3
71.2633744816721,51.5192546744882,X,X,X,X
71.1651234450164,51.5192546744882,X,X,X,X
71.0668724083606,51.5192546744882,X,X,X,X
70.9686213717049,51.5192546744882,X,X,X,X
70.8703703350491,51.5192546744882,X,X,X,X
70.7721192983933,51.5192546744882,X,X,X,X
70.6738682617376,51.5192546744882,X,X,X,X
70.5756172250818,51.5192546744882,X,X,X,X
70.4773661884261,51.5192546744882,X,X,X,X
70.3791151517703,51.5192546744882,X,X,X,X
70.2808641151146,51.5192546744882,X,X,X,X
70.1826130784588,51.5192546744882,X,X,X,X
70.084362041803,51.5192546744882,X,X,X,X
69.9861110051473,51.5192546744882,X,X,X,X
69.8878599684915,51.5192546744882,X,X,X,X
69.7896089318358,51.5192546744882,X,X,X,X
69.69135789518,51.5192546744882,X,X,X,X
69.5931068585243,51.5192546744882,X,X,X,X
69.4948558218685,51.5192546744882,X,X,X,X
69.3966047852128,51.5192546744882,X,X,X,X
69.298353748557,51.5192546744882,X,X,X,X
69.2001027119013,51.5192546744882,X,X,X,X
69.1018516752455,51.5192546744882,X,X,X,X
69.0036006385897,51.5192546744882,X,X,X,X
68.905349601934,51.5192546744882,X,X,X,X
68.8070985652782,51.5192546744882,X,X,X,X
68.7088475286225,51.5192546744882,X,X,X,X
68.6105964919667,51.5192546744882,X,X,X,X
68.512345455311,51.5192546744882,X,X,X,X
68.4140944186552,51.5192546744882,X,X,X,X
68.3158433819995,51.5192546744882,X,X,X,X
68.2175923453437,51.5192546744882,X,X,X,X
68.1193413086879,51.5192546744882,X,X,X,X
68.0210902720322,51.5192546744882,X,X,X,X
67.9228392353764,51.5192546744882,X,X,X,X
67.8245881987207,51.5192546744882,X,X,X,X
67.7263371620649,51.5192546744882,X,X,X,X
67.6280861254092,51.5192546744882,X,X,X,X
67.5298350887534,51.5192546744882,X,X,X,X
67.4315840520976,51.5192546744882,X,X,X,X
67.3333330154419,51.5192546744882,X,X,X,X
67.2350819787861,51.5192546744882,X,X,X,X
67.1368309421304,51.5192546744882,X,X,X,X
67.0385799054746,51.5192546744882,X,X,X,X
66.9403288688189,51.5192546744882,X,X,X,X
66.8420778321631,51.5192546744882,X,X,X,X
66.7438267955074,51.5192546744882,X,X,X,X
66.6455757588516,51.5192546744882,X,X,X,X
66.5473247221959,51.5192546744882,X,X,X,X
66.4490736855401,51.5192546744882,X,X,X,X
66.3508226488843,51.5192546744882,X,X,X,X
66.2525716122286,51.5192546744882,X,X,X,X
66.1543205755728,51.5192546744882,X,X,X,X
66.0560695389171,51.5192546744882,X,X,X,X
65.9578185022613,51.5192546744882,X,X,X,X
65.8595674656056,51.5192546744882,X,X,X,X
65.7613164289498,51.5192546744882,X,X,X,X
65.663065392294,51.5192546744882,X,X,X,X
65.5648143556383,51.5192546744882,X,X,X,X
65.4665633189825,51.5192546744882,X,X,X,X
65.3683122823268,51.5192546744882,X,X,X,X
65.270061245671,51.5192546744882,X,X,X,X
65.1718102090153,51.5192546744882,X,X,X,X
65.0735591723595,51.5192546744882,X,X,X,X
64.9753081357038,51.5192546744882,X,X,X,X
64.877057099048,51.5192546744882,X,X,X,X
64.7788060623922,51.5192546744882,X,X,X,X
64.6805550257365,51.5192546744882,X,X,X,X
64.5823039890807,51.5192546744882,X,X,X,X
64.484052952425,51.5192546744882,X,X,X,X
64.3858019157692,51.5192546744882,X,X,X,X
64.2875508791135,51.5192546744882,X,X,X,X
64.1892998424577,51.5192546744882,X,X,X,X
64.091048805802,51.5192546744882,X,X,X,X
63.9927977691462,51.5192546744882,X,X,X,X
63.8945467324904,51.5192546744882,X,X,X,X
63.7962956958347,51.5192546744882,X,X,X,X
63.6980446591789,51.5192546744882,X,X,X,X
63.5997936225232,51.5192546744882,X,X,X,X
63.5015425858674,51.5192546744882,X,X,X,X
63.4032915492117,51.5192546744882,X,X,X,X
63.3050405125559,51.5192546744882,X,X,X,X
63.2067894759002,51.5192546744882,X,X,X,X
63.1085384392444,51.5192546744882,X,X,X,X
63.0102874025886,51.5192546744882,X,X,X,X
62.9120363659329,51.5192546744882,X,X,X,X
62.8137853292771,51.5192546744882,X,X,X,X
62.7155342926214,51.5192546744882,X,X,X,X
62.6172832559656,51.5192546744882,X,X,X,X
62.5190322193099,51.5192546744882,X,X,X,X
62.4207811826541,51.5192546744882,X,X,X,X
62.3225301459984,51.5192546744882,X,X,X,X
62.2242791093426,51.5192546744882,X,X,X,X
62.1260280726868,51.5192546744882,X,X,X,X
62.0277770360311,51.5192546744882,X,X,X,X
61.9295259993753,51.5192546744882,X,X,X,X
61.8312749627196,51.5192546744882,X,X,X,X
61.7330239260638,51.5192546744882,X,X,X,X
61.6347728894081,51.5192546744882,X,X,X,X
61.5365218527523,51.5192546744882,X,X,X,X
61.4382708160966,51.5192546744882,X,X,X,X
61.3400197794408,51.5192546744882,X,X,X,X
61.241768742785,51.5192546744882,X,X,X,X
61.1435177061293,51.5192546744882,X,X,X,X
61.0452666694735,51.5192546744882,X,X,X,X
60.9470156328178,51.5192546744882,X,X,X,X
60.848764596162,51.5192546744882,X,X,X,X
60.7505135595063,51.5192546744882,X,X,X,X
60.6522625228505,51.5192546744882,X,X,X,X
60.5540114861948,51.5192546744882,X,X,X,X
60.455760449539,51.5192546744882,X,X,X,X
60.3575094128832,51.5192546744882,X,X,X,X
60.2592583762275,51.5192546744882,X,X,X,X
60.1610073395717,51.5192546744882,X,X,X,X
60.062756302916,51.5192546744882,X,X,X,X
59.9645052662602,51.5192546744882,X,X,X,X
59.8662542296045,51.5192546744882,X,X,X,X
59.7680031929487,51.5192546744882,X,X,X,X
59.669752156293,51.5192546744882,X,X,X,X
59.5715011196372,51.5192546744882,X,X,X,X
59.4732500829814,51.5192546744882,X,X,X,X
59.3749990463257,51.5192546744882,X,X,X,X
59.2767480096699,51.5192546744882,X,X,X,X
59.1784969730142,51.5192546744882,X,X,X,X
59.0802459363584,51.5192546744882,X,X,X,X
58.9819948997027,51.5192546744882,X,X,X,X
58.8837438630469,51.5192546744882,X,X,X,X
58.7854928263911,51.5192546744882,X,X,X,X
58.6872417897354,51.5192546744882,X,X,X,X
58.5889907530796,51.5192546744882,X,X,X,X
58.4907397164239,51.5192546744882,X,X,X,X
58.3924886797681,51.5192546744882,X,X,X,X
58.2942376431124,51.5192546744882,X,X,X,X
58.1959866064566,51.5192546744882,X,X,X,X
58.0977355698009,51.5192546744882,X,X,X,X
57.9994845331451,51.5192546744882,X,X,X,X
57.9012334964893,51.5192546744882,X,X,X,X
57.8029824598336,51.5192546744882,X,X,X,X
57.7047314231778,51.5192546744882,X,X,X,X
57.6064803865221,51.5192546744882,X,X,X,X
57.5082293498663,51.5192546744882,X,X,X,X
57.4099783132106,51.5192546744882,X,X,X,X
57.3117272765548,51.5192546744882,X,X,X,X
57.2134762398991,51.5192546744882,X,X,X,X
57.1152252032433,51.5192546744882,X,X,X,X
57.0169741665875,51.5192546744882,X,X,X,X
56.9187231299318,51.5192546744882,X,X,X,X
56.820472093276,51.5192546744882,9,2,4,3
56.7222210566203,51.5192546744882,9,2,4,3
56.6239700199645,51.5192546744882,9+,3,1.,4
56.5257189833088,51.5192546744882,9+,3,1.,4
56.427467946653,51.5192546744882,9+,3,1.,4
56.3292169099973,51.5192546744882,9+,3,1.,4
56.2309658733415,51.5192546744882,9+,3,1.,4
56.1327148366858,51.5192546744882,X,X,X,X
56.03446380003,51.5192546744882,X,X,X,X
55.9362127633742,51.5192546744882,X,X,X,X
55.8379617267185,51.5192546744882,10,X,7,8
55.7397106900627,51.5192546744882,10,X,7,8
55.641459653407,51.5192546744882,X,X,X,X
55.5432086167512,51.5192546744882,X,X,X,X
55.4449575800955,51.5192546744882,7,2,4,3
71.2633744816721,51.5017394471729,X,X,X,X
71.1651234450164,51.5017394471729,X,X,X,X
71.0668724083606,51.5017394471729,X,X,X,X
70.9686213717049,51.5017394471729,X,X,X,X
70.8703703350491,51.5017394471729,X,X,X,X
70.7721192983933,51.5017394471729,X,X,X,X
70.6738682617376,51.5017394471729,X,X,X,X
70.5756172250818,51.5017394471729,X,X,X,X
70.4773661884261,51.5017394471729,X,X,X,X
70.3791151517703,51.5017394471729,X,X,X,X
70.2808641151146,51.5017394471729,X,X,X,X
70.1826130784588,51.5017394471729,X,X,X,X
70.084362041803,51.5017394471729,X,X,X,X
69.9861110051473,51.5017394471729,X,X,X,X
69.8878599684915,51.5017394471729,X,X,X,X
69.7896089318358,51.5017394471729,X,X,X,X
69.69135789518,51.5017394471729,X,X,X,X
69.5931068585243,51.5017394471729,X,X,X,X
69.4948558218685,51.5017394471729,X,X,X,X
69.3966047852128,51.5017394471729,X,X,X,X
69.298353748557,51.5017394471729,X,X,X,X
69.2001027119013,51.5017394471729,X,X,X,X
69.1018516752455,51.5017394471729,X,X,X,X
69.0036006385897,51.5017394471729,X,X,X,X
68.905349601934,51.5017394471729,X,X,X,X
68.8070985652782,51.5017394471729,X,X,X,X
68.7088475286225,51.5017394471729,X,X,X,X
68.6105964919667,51.5017394471729,X,X,X,X
68.512345455311,51.5017394471729,X,X,X,X
68.4140944186552,51.5017394471729,X,X,X,X
68.3158433819995,51.5017394471729,X,X,X,X
68.2175923453437,51.5017394471729,X,X,X,X
68.1193413086879,51.5017394471729,X,X,X,X
68.0210902720322,51.5017394471729,X,X,X,X
67.9228392353764,51.5017394471729,X,X,X,X
67.8245881987207,51.5017394471729,X,X,X,X
67.7263371620649,51.5017394471729,X,X,X,X
67.6280861254092,51.5017394471729,X,X,X,X
67.5298350887534,51.5017394471729,X,X,X,X
67.4315840520976,51.5017394471729,X,X,X,X
67.3333330154419,51.5017394471729,X,X,X,X
67.2350819787861,51.5017394471729,X,X,X,X
67.1368309421304,51.5017394471729,X,X,X,X
67.0385799054746,51.5017394471729,X,X,X,X
66.9403288688189,51.5017394471729,X,X,X,X
66.8420778321631,51.5017394471729,X,X,X,X
66.7438267955074,51.5017394471729,X,X,X,X
66.6455757588516,51.5017394471729,X,X,X,X
66.5473247221959,51.5017394471729,X,X,X,X
66.4490736855401,51.5017394471729,X,X,X,X
66.3508226488843,51.5017394471729,X,X,X,X
66.2525716122286,51.5017394471729,X,X,X,X
66.1543205755728,51.5017394471729,X,X,X,X
66.0560695389171,51.5017394471729,X,X,X,X
65.9578185022613,51.5017394471729,X,X,X,X
65.8595674656056,51.5017394471729,X,X,X,X
65.7613164289498,51.5017394471729,X,X,X,X
65.663065392294,51.5017394471729,X,X,X,X
65.5648143556383,51.5017394471729,X,X,X,X
65.4665633189825,51.5017394471729,X,X,X,X
65.3683122823268,51.5017394471729,X,X,X,X
65.270061245671,51.5017394471729,X,X,X,X
65.1718102090153,51.5017394471729,X,X,X,X
65.0735591723595,51.5017394471729,X,X,X,X
64.9753081357038,51.5017394471729,X,X,X,X
64.877057099048,51.5017394471729,X,X,X,X
64.7788060623922,51.5017394471729,X,X,X,X
64.6805550257365,51.5017394471729,X,X,X,X
64.5823039890807,51.5017394471729,X,X,X,X
64.484052952425,51.5017394471729,X,X,X,X
64.3858019157692,51.5017394471729,X,X,X,X
64.2875508791135,51.5017394471729,X,X,X,X
64.1892998424577,51.5017394471729,X,X,X,X
64.091048805802,51.5017394471729,X,X,X,X
63.9927977691462,51.5017394471729,X,X,X,X
63.8945467324904,51.5017394471729,X,X,X,X
63.7962956958347,51.5017394471729,X,X,X,X
63.6980446591789,51.5017394471729,X,X,X,X
63.5997936225232,51.5017394471729,X,X,X,X
63.5015425858674,51.5017394471729,X,X,X,X
63.4032915492117,51.5017394471729,X,X,X,X
63.3050405125559,51.5017394471729,X,X,X,X
63.2067894759002,51.5017394471729,X,X,X,X
63.1085384392444,51.5017394471729,X,X,X,X
63.0102874025886,51.5017394471729,X,X,X,X
62.9120363659329,51.5017394471729,X,X,X,X
62.8137853292771,51.5017394471729,X,X,X,X
62.7155342926214,51.5017394471729,X,X,X,X
62.6172832559656,51.5017394471729,X,X,X,X
62.5190322193099,51.5017394471729,X,X,X,X
62.4207811826541,51.5017394471729,X,X,X,X
62.3225301459984,51.5017394471729,X,X,X,X
62.2242791093426,51.5017394471729,X,X,X,X
62.1260280726868,51.5017394471729,X,X,X,X
62.0277770360311,51.5017394471729,X,X,X,X
61.9295259993753,51.5017394471729,X,X,X,X
61.8312749627196,51.5017394471729,X,X,X,X
61.7330239260638,51.5017394471729,X,X,X,X
61.6347728894081,51.5017394471729,X,X,X,X
61.5365218527523,51.5017394471729,X,X,X,X
61.4382708160966,51.5017394471729,X,X,X,X
61.3400197794408,51.5017394471729,X,X,X,X
61.241768742785,51.5017394471729,X,X,X,X
61.1435177061293,51.5017394471729,X,X,X,X
61.0452666694735,51.5017394471729,X,X,X,X
60.9470156328178,51.5017394471729,X,X,X,X
60.848764596162,51.5017394471729,X,X,X,X
60.7505135595063,51.5017394471729,X,X,X,X
60.6522625228505,51.5017394471729,X,X,X,X
60.5540114861948,51.5017394471729,X,X,X,X
60.455760449539,51.5017394471729,X,X,X,X
60.3575094128832,51.5017394471729,X,X,X,X
60.2592583762275,51.5017394471729,X,X,X,X
60.1610073395717,51.5017394471729,X,X,X,X
60.062756302916,51.5017394471729,X,X,X,X
59.9645052662602,51.5017394471729,X,X,X,X
59.8662542296045,51.5017394471729,X,X,X,X
59.7680031929487,51.5017394471729,X,X,X,X
59.669752156293,51.5017394471729,X,X,X,X
59.5715011196372,51.5017394471729,X,X,X,X
59.4732500829814,51.5017394471729,X,X,X,X
59.3749990463257,51.5017394471729,X,X,X,X
59.2767480096699,51.5017394471729,X,X,X,X
59.1784969730142,51.5017394471729,X,X,X,X
59.0802459363584,51.5017394471729,X,X,X,X
58.9819948997027,51.5017394471729,X,X,X,X
58.8837438630469,51.5017394471729,X,X,X,X
58.7854928263911,51.5017394471729,X,X,X,X
58.6872417897354,51.5017394471729,X,X,X,X
58.5889907530796,51.5017394471729,X,X,X,X
58.4907397164239,51.5017394471729,X,X,X,X
58.3924886797681,51.5017394471729,X,X,X,X
58.2942376431124,51.5017394471729,X,X,X,X
58.1959866064566,51.5017394471729,X,X,X,X
58.0977355698009,51.5017394471729,X,X,X,X
57.9994845331451,51.5017394471729,X,X,X,X
57.9012334964893,51.5017394471729,X,X,X,X
57.8029824598336,51.5017394471729,X,X,X,X
57.7047314231778,51.5017394471729,10,X,7,8
57.6064803865221,51.5017394471729,X,X,X,X
57.5082293498663,51.5017394471729,X,X,X,X
57.4099783132106,51.5017394471729,X,X,X,X
57.3117272765548,51.5017394471729,X,X,X,X
57.2134762398991,51.5017394471729,X,X,X,X
57.1152252032433,51.5017394471729,X,X,X,X
57.0169741665875,51.5017394471729,X,X,X,X
56.9187231299318,51.5017394471729,X,X,X,X
56.820472093276,51.5017394471729,9,2,4,3
56.7222210566203,51.5017394471729,9,2,4,3
56.6239700199645,51.5017394471729,9+,3,1.,4
56.5257189833088,51.5017394471729,9+,3,1.,4
56.427467946653,51.5017394471729,9+,3,1.,4
56.3292169099973,51.5017394471729,9+,3,1.,4
56.2309658733415,51.5017394471729,9+,3,1.,4
56.1327148366858,51.5017394471729,X,X,X,X
56.03446380003,51.5017394471729,X,X,X,X
55.9362127633742,51.5017394471729,X,X,X,X
55.8379617267185,51.5017394471729,10,X,7,8
55.7397106900627,51.5017394471729,10,X,7,8
55.641459653407,51.5017394471729,X,X,X,X
55.5432086167512,51.5017394471729,X,X,X,X
55.4449575800955,51.5017394471729,7,2,4,3
71.2633744816721,51.4842242198576,X,X,X,X
71.1651234450164,51.4842242198576,X,X,X,X
71.0668724083606,51.4842242198576,X,X,X,X
70.9686213717049,51.4842242198576,X,X,X,X
70.8703703350491,51.4842242198576,X,X,X,X
70.7721192983933,51.4842242198576,X,X,X,X
70.6738682617376,51.4842242198576,X,X,X,X
70.5756172250818,51.4842242198576,X,X,X,X
70.4773661884261,51.4842242198576,X,X,X,X
70.3791151517703,51.4842242198576,X,X,X,X
70.2808641151146,51.4842242198576,X,X,X,X
70.1826130784588,51.4842242198576,X,X,X,X
70.084362041803,51.4842242198576,X,X,X,X
69.9861110051473,51.4842242198576,X,X,X,X
69.8878599684915,51.4842242198576,X,X,X,X
69.7896089318358,51.4842242198576,X,X,X,X
69.69135789518,51.4842242198576,X,X,X,X
69.5931068585243,51.4842242198576,X,X,X,X
69.4948558218685,51.4842242198576,X,X,X,X
69.3966047852128,51.4842242198576,X,X,X,X
69.298353748557,51.4842242198576,X,X,X,X
69.2001027119013,51.4842242198576,X,X,X,X
69.1018516752455,51.4842242198576,X,X,X,X
